League,Year,player,team_id,position,goals,assists,key_passes,xG,xA,time,shots,player_id,xGChain,xGBuildup,,League,EPL,,,
EPL,2014,Willian,80,AMR,0,0,1,0.062579803,0.053497601,90,2,700,0.116076998,0.053497601,,Gabriel Jesus,0.95,0.30,1.55,
EPL,2014,Eden Hazard,80,AML,0,0,2,0.355370998,0.098582298,90,1,701,0.417950988,0.417950988,,Jéremy Doku,0.73,0.36,2.00,
EPL,2014,Alex Oxlade-Chamberlain,83,AMR,0,0,4,0.032371201,0.327066988,81,2,966,0.328570992,0.183227003,,Jack Grealish,0.88,0.49,2.38,
EPL,2014,Santiago Cazorla,83,AML,0,0,5,0.916531026,0.655933022,90,6,965,2.002360106,1.162410021,,James Milner,0.57,0.28,2.00,
EPL,2014,Willian,80,AMR,0,0,1,0.038602501,0.557989001,65,1,700,0.733685017,0.137094006,,Jesús Navas,0.55,0.29,2.26,
EPL,2014,Eden Hazard,80,AML,1,0,1,0.939649999,0.057669099,90,3,701,0.512399018,0.454730004,,João Cancelo,0.14,0.09,0.00,
EPL,2014,Ramires,80,AMR,0,0,2,0,0.163678005,55,0,936,0.277004004,0.113325,,Julián Álvarez,0.92,0.44,1.25,
EPL,2014,Eden Hazard,80,AML,0,0,2,0.458079994,0.104033999,90,5,701,0.599555016,0.037439998,,Kevin De Bruyne,0.62,0.30,2.93,
EPL,2014,Jesús Navas,88,AMR,0,0,5,0,0.240122005,90,0,616,0.233090997,0.205817997,,Kyle Walker,0.00,0.00,0.00,
EPL,2014,Samir Nasri,88,AML,0,0,3,0.217962995,0.096676998,76,2,877,0.483242989,0.236733004,,Leroy Sané,0.77,0.40,1.85,
EPL,2014,Andros Townsend,82,AMR,0,0,0,0.091488697,0,51,2,775,0.674122989,0.623700023,,Matheus Nunes,0.67,0.60,1.67,
EPL,2014,Nacer Chadli,82,AML,1,0,2,0.047828801,0.684928,90,1,648,0.761756003,0.028999999,,Nolito,0.56,0.31,1.38,
EPL,2014,Alex Oxlade-Chamberlain,83,AMR,0,0,4,0.514289975,0.513028026,90,4,966,1.626839995,0.629339993,,Omar Marmoush,0.66,0.18,0.50,
EPL,2014,Santiago Cazorla,83,AML,0,0,3,0.0298151,0.224704996,90,1,965,0.915566027,0.885751009,,Oscar Bobb,0.61,0.40,1.50,
EPL,2014,Willian,80,AMR,0,0,1,0.052164201,0.034602199,88,2,700,0.706303,0.619535983,,Phil Foden,0.82,0.38,1.81,
EPL,2014,Eden Hazard,80,AML,1,0,4,0.600175023,1.129940033,90,4,701,0.915540993,0.081953898,,Raheem Sterling,0.90,0.34,1.70,
EPL,2014,Alex Oxlade-Chamberlain,83,AMR,0,0,6,0.350935996,0.368743002,90,2,966,0.827857018,0.249801993,,Rico Lewis,0.16,0.07,0.00,
EPL,2014,Alexis Sánchez,83,AML,0,0,7,0.188984007,0.693790019,90,4,498,0.563390017,0.0307981,,Riyad Mahrez,0.84,0.44,2.05,
EPL,2014,Erik Lamela,82,AMR,0,0,2,0.175017998,0.064432301,90,4,644,0.907706022,0.789817989,,Sávio,0.81,0.39,1.18,
EPL,2014,Christian Eriksen,82,AML,1,0,5,0.205592006,0.294268012,90,5,646,1.163599968,1.006090045,,Samir Nasri,0.66,0.32,2.38,
EPL,2014,Alexis Sánchez,83,AMR,0,0,0,0.249543995,0,90,4,498,0.420165986,0.228585005,,Sergio Gómez,0.56,0.42,2.00,
EPL,2014,Danny Welbeck,83,AML,1,0,4,0.242607996,0.211548001,90,2,501,0.454154998,0.100460999,,Grand Total,0.81,0.39,1.88,
EPL,2014,Ángel Di María,89,FWR,0,0,0,0,0,13,0,3553,0.0232834,0.0232834,,,,,,
EPL,2014,Wayne Rooney,89,FWL,1,0,1,0.114128001,0.048757799,90,4,629,0.907187998,0.793060005,,,,,,
EPL,2014,Willian,80,AMR,0,0,3,0.065292902,0.196978003,86,3,700,0.217175007,0.116053998,,,,,,
EPL,2014,Eden Hazard,80,AML,0,0,5,0.080909297,0.115943,90,3,701,0.323529005,0.204512998,,,,,,
EPL,2014,Aaron Lennon,82,AMR,0,1,2,0,0.357858002,63,0,593,0.357858002,0,,,,,,
EPL,2014,Christian Eriksen,82,AML,1,0,2,0.598228991,0.0306847,90,4,646,0.664403975,0.087948397,,,,,,
EPL,2014,Willian,80,AMR,0,0,1,0.342974991,0.148330003,90,3,700,0.786091983,0.504320025,,,,,,
EPL,2014,Eden Hazard,80,AML,1,0,2,0.394704014,0.257571995,90,2,701,1.309749961,0.705511987,,,,,,
EPL,2014,Aaron Lennon,82,AMR,0,0,1,0,0.091901302,60,0,593,0.130833998,0.038932201,,,,,,
EPL,2014,Christian Eriksen,82,AML,0,0,2,0.0128491,0.0385148,90,1,646,0.038932201,0.026083101,,,,,,
EPL,2014,Alex Oxlade-Chamberlain,83,AMR,0,0,0,0.071183801,0,67,1,966,0.168814003,0.097630002,,,,,,
EPL,2014,Alexis Sánchez,83,AML,1,0,3,0.608783007,0.113286003,90,2,498,1.203629971,0.540831029,,,,,,
EPL,2014,Willian,80,AMR,0,0,3,0.146568999,0.25958401,68,3,700,0.40615201,0.093996599,,,,,,
EPL,2014,Eden Hazard,80,AML,0,0,3,0.231935993,0.146568999,90,3,701,0.715031028,0.405705988,,,,,,
EPL,2014,Alex Oxlade-Chamberlain,83,AMR,0,0,3,0,0.186547995,90,0,966,0.533815026,0.426901013,,,,,,
EPL,2014,Alexis Sánchez,83,AML,0,1,3,0.416662008,0.237830997,90,2,498,0.979574978,0.472936004,,,,,,
EPL,2014,Erik Lamela,82,AMR,0,0,0,0,0,47,0,644,0.170879006,0.170879006,,,,,,
EPL,2014,Christian Eriksen,82,AML,0,0,3,0.091679499,0.542991996,90,3,646,0.699804008,0.136741996,,,,,,
EPL,2014,Willian,80,AMR,0,0,1,0,0.0210074,82,0,700,0,0,,,,,,
EPL,2014,Eden Hazard,80,AML,1,1,3,0.49049899,0.254345,90,2,701,0.915253997,0.287737995,,,,,,
